                           relname                            |                table_name                 |                      reloptions                       
--------------------------------------------------------------+-------------------------------------------+-------------------------------------------------------
 current_intel_real100k_hnsw_m16_idx                          | current_intel_real100k_hnsw_corpus        | {m=16,ef_construction=128,build_source_column=source}
 ec_hnsw_real_ann_benchmarks_anchor_m16_w8_idx                | ec_hnsw_real_ann_benchmarks_anchor_corpus | {m=16,ef_construction=128,build_source_column=source}
 ec_hnsw_source_dsm_smoke_idx                                 | ec_hnsw_source_dsm_smoke                  | {m=8,ef_construction=64,build_source_column=source}
 ecaz_fault_hnsw_idx                                          | ecaz_fault_hnsw                           | {m=8,ef_construction=16}
 task28_ivf_postopt10k_n128w25_hnsw_idx                       | task28_ivf_postopt10k_n128w25_corpus      | {m=16,ef_construction=128}
 task67_current_shape_real50k_hnsw_m16_idx                    | task67_current_shape_real50k_hnsw_corpus  | {m=16,ef_construction=128,build_source_column=source}
 task67_local_fullq_100k_hnsw_m16_idx                         | task67_local_fullq_100k_hnsw_corpus       | {m=16,ef_construction=128,build_source_column=source}
 task67_local_fullq_100k_hnsw_m8_idx                          | task67_local_fullq_100k_hnsw_corpus       | {m=8,ef_construction=128,build_source_column=source}
 task67_local_fullq_50k_hnsw_m16_idx                          | task67_local_fullq_50k_hnsw_corpus        | {m=16,ef_construction=128,build_source_column=source}
 task67_local_fullq_50k_hnsw_m8_idx                           | task67_local_fullq_50k_hnsw_corpus        | {m=8,ef_construction=128,build_source_column=source}
 task87_phase6_real10k_hnsw_m16_idx                           | task87_phase6_real10k_hnsw_corpus         | {m=16,ef_construction=128}
 tqhnsw_real_50k_reloaded_m16_idx                             | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_avx_accum_idx      | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_avx_idx            | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_backlink_cache_idx | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_idx                | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_scratchbuf_idx     | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_sweep_w1_idx       | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_sweep_w2_idx       | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_sweep_w4_idx       | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_sweep_w8_idx       | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_timing_idx         | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_parallel_dsm_w8_headroom_idx    | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
 tqhnsw_real_50k_reloaded_m16_serial_timing_idx               | tqhnsw_real_50k_reloaded_corpus           | {m=16,ef_construction=128,build_source_column=source}
(24 rows)

