Filename                                                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
am/common/callback.rs                                                             4                 4     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
am/common/candidate_batch.rs                                                    470               470     0.00%          33                33     0.00%         372               372     0.00%           0                 0         -
am/common/cost.rs                                                               175               175     0.00%          20                20     0.00%         190               190     0.00%           0                 0         -
am/common/datum.rs                                                              160               160     0.00%          15                15     0.00%         112               112     0.00%           0                 0         -
am/common/detoast.rs                                                             72                72     0.00%           8                 8     0.00%          49                49     0.00%           0                 0         -
am/common/dsm.rs                                                                 80                80     0.00%          17                17     0.00%          68                68     0.00%           0                 0         -
am/common/explain.rs                                                            250               250     0.00%          39                39     0.00%         283               283     0.00%           0                 0         -
am/common/heap_slot.rs                                                          206               206     0.00%          27                27     0.00%         186               186     0.00%           0                 0         -
am/common/index_info.rs                                                          42                42     0.00%           9                 9     0.00%          33                33     0.00%           0                 0         -
am/common/parallel.rs                                                           422               422     0.00%          52                52     0.00%         385               385     0.00%           0                 0         -
am/common/parallel_context.rs                                                    76                76     0.00%          19                19     0.00%          69                69     0.00%           0                 0         -
am/common/parallel_slot.rs                                                      161               161     0.00%          11                11     0.00%         137               137     0.00%           0                 0         -
am/common/pg_ptr.rs                                                              39                39     0.00%           6                 6     0.00%          35                35     0.00%           0                 0         -
am/common/quant_codec.rs                                                         38                38     0.00%           3                 3     0.00%          33                33     0.00%           0                 0         -
am/common/reloptions.rs                                                          28                28     0.00%           4                 4     0.00%          30                30     0.00%           0                 0         -
am/common/routine.rs                                                              4                 4     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
am/common/scan_output.rs                                                         37                37     0.00%           4                 4     0.00%          43                43     0.00%           0                 0         -
am/common/stats.rs                                                              124               124     0.00%          27                27     0.00%         114               114     0.00%           0                 0         -
am/common/stream.rs                                                             352               352     0.00%          41                41     0.00%         384               384     0.00%           0                 0         -
am/common/training.rs                                                           607               607     0.00%          37                37     0.00%         431               431     0.00%           0                 0         -
am/common/vacuum.rs                                                              35                35     0.00%           9                 9     0.00%          42                42     0.00%           0                 0         -
am/ec_diskann/ambuild.rs                                                        977               977     0.00%          58                58     0.00%         628               628     0.00%           0                 0         -
am/ec_diskann/build.rs                                                          279               279     0.00%          15                15     0.00%         299               299     0.00%           0                 0         -
am/ec_diskann/cost.rs                                                           112               112     0.00%           7                 7     0.00%         102               102     0.00%           0                 0         -
am/ec_diskann/diagnostics.rs                                                    347               347     0.00%          13                13     0.00%         189               189     0.00%           0                 0         -
